"Название";"ID";"Просмотры";"Канал";"Исходное видео";"Миниатюра"
"Лукашенко подверг жёсткой критике качество работы по развитию Оршанского инструментального завода";"3ovWpgLaVhc";"3.1M";"Информационное агентство БелТА";"iViuq3CwmN0";"https://i.ytimg.com/vi/3ovWpgLaVhc/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLB-drXGhTXwyrSK2BY_xMcz1dZ0hA"
"Лукашенко: Это чудо вообще! Честно говоря, ТАКОГО я не видел вообще! // Яблоневый сад";"eL9K7GF5MiM";"3.6M";"Информационное агентство БелТА";"iViuq3CwmN0";"https://i.ytimg.com/vi/eL9K7GF5MiM/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLB63FN2axaEfskXavbaCbXYzcte5A"
"""Голову бы отвернул щенку на месте учителя!"". Лукашенко о скандале с учительницей в Гомеле";"ZvhjrpiDamQ";"6.1M";"CTVBY";"iViuq3CwmN0";"https://i.ytimg.com/vi/ZvhjrpiDamQ/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDmvusPqTu_lSUxhHPb_te8Uv7_Rw"
"🔥🔥🔥Лукашенко на ферме: ""Это то, что надо!!! Это ИДЕАЛЬНО!!! Ничего больше не надо!!!"" ПОЛНОЕ ВИДЕО!";"jvUNcLT3VPU";"536K";"Первый национальный канал Белорусского радио";"iViuq3CwmN0";"https://i.ytimg.com/vi/jvUNcLT3VPU/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLC7EJwlUrHoHY_S5W_F1XQwLjCMxw"
"Лукашенко уволил губернатора Могилёвской области... Что он увидел на ферме в Шкловском районе?";"z-ER8Khznck";"7.5M";"Телеканал ОНТ";"iViuq3CwmN0";"https://i.ytimg.com/vi/z-ER8Khznck/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBT2s_y58lj_IiP0x-PUXMzu3Jqbg"
"Лукашенко лично протестировал новинку БелАЗа -- самый большой самосвал в мире";"kHsplspemZU";"7M";"Телеканал ОНТ";"iViuq3CwmN0";"https://i.ytimg.com/vi/kHsplspemZU/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCtRpqCpW-Bj2A_024_kKrMdMuxeQ"
"Рабочие против Лукашенко (полное видео)";"f878zy9BdlA";"2.5M";"Настоящее Время. Сюжеты";"iViuq3CwmN0";"https://i.ytimg.com/vi/f878zy9BdlA/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAHEO7E_LCi92bsdWgX84On2njXcA"
"""Ну как кормят? Ничего?"" // Лукашенко пообедал в поле с комбайнёрами и обсудил с ними новую технику";"eMjQJZt9e4k";"1.6M";"Информационное агентство БелТА";"iViuq3CwmN0";"https://i.ytimg.com/vi/eMjQJZt9e4k/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBTcLQ8lYOfHP_lNjEQ90VaQbsWJw"
"Шокировал Президента зарплатой – Лукашенко взялся за завод! | Владимир Акулёнок | «СВОИ»";"-p080T675BU";"1.9M";"CTVBY";"iViuq3CwmN0";"https://i.ytimg.com/vi/-p080T675BU/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCztV8I_ffio7mU4erMmk-MAm8Y7A"
"Лукашенко: Сколько у тебя коз на одного козла? // Ферма по содержанию и выращиванию племенных коз";"LE8Choxgw0k";"723K";"Информационное агентство БелТА";"iViuq3CwmN0";"https://i.ytimg.com/vi/LE8Choxgw0k/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLB_GvUeL2pqYEuD-OhLJ7v2So6OWw"
